Total,esl,nativeAmerican,black,latino,asian,white,female,attendance,povertyRate,teachers
261,52,1.2,29.9,60.2,6.1,2.7,45.2,90.4,89.4,23
338,37,0.9,21.3,58.9,12.4,6.5,52.1,91.5,61.5,29
610,181,0.3,7.5,65.2,24.8,2.1,52,93.6,92.5,48
420,38,0.2,21,71.7,5,2.1,50,88.8,76.8,35
202,7,0,19.3,64.8,8.9,6.9,41.1,90.5,63.9,21
478,23,1.5,14.2,55.2,14.4,14.6,52.5,93.5,58.2,38
367,37,1.1,22.1,56.7,19.1,1.1,54,91.5,77.8,32
242,34,0.8,31,59.1,8.7,0.4,47.1,91.1,78.1,25
450,58,0.4,17.6,75.6,4.2,2.2,44.9,91,79.9,39
450,39,0.2,19.6,73.6,4.2,2.4,50.4,91.1,81.4,44
573,0,0.5,5.6,3.8,82.9,7.2,47,99.1,72.2,32
414,51,0,31.9,65,2.4,0.7,48.1,89,89.6,38
211,13,1.9,20.8,59.7,10.9,6.6,39.3,89.2,62.8,16
163,12,4.3,20.2,31.9,8.6,35,45.4,93.1,37.3,16
279,15,0,29.4,61.6,6.1,2.9,45.9,90.6,73.8,22
279,6,0.7,17.2,63.8,15.4,2.9,51.2,94,86.6,24
258,18,3.9,11.6,31.8,13.2,39.5,51.9,92.2,44.1,21
274,2,1.8,21.9,28.1,16.4,31.8,45.6,92.7,36.7,21
331,11,1.2,12.4,39.6,13.3,33.5,42.6,93.4,44.3,23
588,42,0.3,19.6,53.2,22.4,4.4,49,84.8,71.5,39
543,0,0,17.5,17.1,10.7,54.7,68.7,93.8,15.9,38
364,20,0.6,14.3,44.5,25,15.7,48.1,95.5,60.3,25
567,201,0.4,11.1,16.2,70.6,1.8,45.7,95.4,81.6,43
726,278,1.1,5.4,8.4,83.6,1.5,46.6,96.4,89.6,59
585,34,1.4,12.3,17.3,8.9,60.2,44.8,94.1,6.6,41
798,22,2.3,5,9.4,8.2,75.2,47.6,94.3,2.4,50
511,26,1.8,20,37.6,12.1,28.6,50.5,94.5,61.3,46
336,47,1.5,25.9,50.3,14.3,8,49.1,94.2,83.5,29
546,17,0.7,8.6,13.7,12.6,64.3,48.7,95.1,9.7,41
742,23,1.9,4.8,10.8,10.1,72.4,48.9,95.5,10.6,52
736,158,0.1,2,5,92.3,0.5,48.8,97.6,88.1,53
334,49,1.5,12.6,57.5,15.9,12.6,47.9,94.1,65.6,24
460,63,1.3,8.3,18.3,17,55.2,48.9,95,21.3,31
356,0,0.3,4.2,14.3,15.7,65.4,52.8,95.7,8,18
512,29,1.6,6.8,11.7,16.6,63.3,49.6,94.7,10.6,35
1040,36,0.4,13.4,23,34.8,28.5,48.2,94.8,38.7,67
572,59,0.9,15.4,65.2,7.5,11,49.6,91.7,64.9,52
365,1,0,8,11.2,14.5,66.3,57.5,96.3,16.8,22
794,49,0.6,11.8,21.7,20.9,45,53.6,95,20.2,49
997,291,0.1,3.7,3.7,90.4,2.1,49,97.1,60.8,66
723,100,0,16,29.5,43.8,10.6,48.1,95.2,68.6,64
1074,238,0,1.7,4.9,90,3.4,47.9,97.7,65.7,64
817,150,0,7.1,12.8,78.5,1.6,45.2,96.7,87.4,63
181,0,1.7,13.8,12.2,9.9,62.4,52.5,94.8,10.5,12
731,37,2.2,5.6,17.6,10.3,64.3,47.5,94.3,21.5,51
1255,47,0.1,13.9,24.6,32.1,29.2,47.4,94.5,40.8,79
584,51,2,7.2,13.9,18.7,58.2,48.1,95.2,16,48
547,39,1.1,24,48.8,10.2,15.9,51.6,93.1,41.5,45
347,0,0.3,16.1,26.2,13,44.4,48.1,94.4,26,25
454,46,0.4,38.3,23.8,21.6,15.9,46.7,93.2,42.3,35
285,11,1.4,37.2,46.7,3.9,10.9,46.7,91.3,39.6,21
755,15,0.5,5.8,7.3,15.9,70.5,48.6,95.2,5.2,48
385,1,0.3,9.1,13.8,29.9,47,51.7,97,19.4,19
244,1,1.2,15.6,23.4,10.2,49.6,61.9,95.4,25,12
405,22,0.2,49.6,44.4,2,3.7,58.8,89.5,62.9,30
294,0,0,12.2,15,36,36.7,52,96.6,30.3,16
664,23,1.2,3.3,11.4,11.4,72.6,48,95.7,9.4,45
343,23,0.6,25.7,57.1,6.1,10.5,47.8,82.1,74.6,25
376,22,0.3,36.4,56.1,4,3.2,70,80.1,74.5,30
410,4,0.2,26.1,35.1,31.2,7.3,50,91.9,74,26
389,42,0,24.4,64.8,5.4,5.4,28.8,85.1,68.8,23
320,42,0.3,32.5,62.2,3.1,1.9,46.6,81.4,71.4,30
253,4,0.4,43.9,44.7,3.6,7.5,55.7,81.1,61.9,20
241,8,0,33.6,54.4,5,7,60.6,85.9,64.4,17
580,6,0.9,4.8,8.4,46,39.8,47.1,97.6,12.6,37
292,16,0.7,38.7,56.8,2.7,1,100,83.2,60.3,15
199,0,0.5,21.6,44.7,5,28.1,54.8,89.1,76.3,39
1460,60,0.3,21.6,48.6,16.8,12.7,52.2,88.8,47.4,77
425,26,0.7,32.5,64.9,0.9,0.9,54.1,80.2,71.8,30
416,0,0,6.5,11.1,60.8,21.6,62,97.3,46.7,24
518,4,0.8,9.8,12.9,28,48.5,51.2,95.2,13.6,28
422,10,0.2,19.9,39.8,19.9,20.1,51.2,92.1,37.4,28
484,0,0.4,8.5,12.4,21.1,57.6,62.8,95.5,27.1,33
548,3,0.4,9.1,24.8,30.1,35.6,63.7,95.7,39.1,38
450,38,0,26.7,68.7,2.4,2.2,53.3,78.4,64.4,27
1521,58,0.5,24.8,46.9,21.9,6,69,90.3,57.1,85
693,26,0,28.3,55.8,10.5,5.3,50.1,83.5,50.2,39
378,29,0,45.2,48.7,3.2,2.9,49.5,76.5,74,28
397,9,1.3,26.7,60,7,5,65.5,94.6,60,27
1727,221,0.5,27.2,60.3,9.5,2.5,50,77.2,64.2,115
161,5,0,47.8,23.6,13,15.5,61.5,95.3,40.8,8
415,23,1.9,34.5,54.7,2.6,6.3,54,84.5,66.9,38
