pcp,insure,smoke,obese,healthfood,male,lt55,white,edu,unemploy,hhinc,commute,compressor,logMortRate
2920,18.26316359,15.7,20.5,4.571834923,50.93,80.31,65.6,32.94,6.95,78121,19,0,-0.510825624
755,28.71060861,29.9,28.3,38.56978363,52.29,84.75,11.62,11.38,17.3,51930,7,0,-0.430782916
141,19.31613677,21.4,20.4,18.52751868,51.81,80.76,86.91,29.46,2.74,79167,17,0,-0.544727175
148,28.19343066,14.1,22.7,4.890014561,54.6,69.3,81.19,31.29,6.22,57551,10,0,-0.597837001
1370,20.40297884,17.5,17,6.13461527,51.51,76.12,69.45,37.76,5.61,84750,15,0,-0.446287103
2427,22.96815418,21.2,23.7,5.907287421,52.33,70.88,84.24,23.26,9.44,63099,20,0,-0.616186139
3172,21.12477437,19.4,22.5,9.978115552,53.19,81.54,77.28,30.54,8.17,70408,19,0,-0.653926467
556,29.5806603,19.8,20,3.697891069,52.66,80.85,54.63,21.6,5.28,70529,11,0,-0.562118918
1681,21.66024232,26.2,24.7,5.77279867,52.12,78.54,84.47,20.92,10.23,72134,34,0,-0.579818495
460,28.85069817,40.1,25.5,35.96923514,53.38,83.46,17.26,14.71,17.59,47579,7,0,-0.494296322
720,25.93978709,22.5,22,0.888592194,51.81,73.7,68.36,24.62,8.53,61712,13,0,-0.544727175
410,25.26840491,21.3,18.7,5.894634222,51,73.49,65.84,32.89,4.58,69635,13,0,-0.616186139
304,27.14130266,21.6,22.7,9.166466019,55.49,75.93,80.57,20.65,8.39,65481,12,0,-0.616186139
500,24.42609974,23.2,23.8,10.86389619,53.33,75.26,73.16,24.1,9.58,81736,10,0,-0.527632742
426,36.33197911,40.5,26.3,50.08882135,53.65,73.71,22.39,10.13,20.28,37796,9,0,-0.544727175
286,24.09428197,45.3,27.4,3.819365775,63.55,81.7,32.81,13.4,10.34,74609,9,0,-0.634878272
407,13.9312818,21.7,29.4,9.793530396,48.56,75.72,78.01,21.94,8.53,52475,27,0,-0.693147181
1664,16.58019504,20.6,27.6,5.460260624,48.76,68.59,86.65,28.62,8.6,50183,26,0,-0.673344553
379,15.97807042,25.9,37,2.144660992,53.94,73.95,76.72,10.24,10.92,37984,27,0,-0.616186139
367,18.0648999,21.3,35,1.062467654,49.57,71.31,95.28,12.26,9.27,44409,34,0,-0.673344553
104,15.74183392,37.8,32.5,20.15173014,54.23,72.24,26.21,14.09,17.38,34804,28,0,-0.616186139
423,18.91006552,25.1,35,11.42031572,53.7,71.66,47.22,13.61,14.19,35634,24,0,-0.579818495
1458,16.94823886,24.4,33.3,10.04382389,48.2,71.52,75.2,16.91,13.55,40919,23,1,-0.673344553
385,17.92664271,24.1,38.7,8.821524906,47.73,68.26,57.99,12.22,12.67,32835,25,0,-0.579818495
208,17.15378441,24.4,34.2,0.132686376,49.77,64.58,92.95,13.73,9.64,34983,27,0,-0.673344553
372,16.37840365,30.5,36.9,2.832029115,46.73,68.29,54.59,14.32,12.18,31571,25,0,-0.616186139
517,17.57741348,19.9,37.9,11.62806842,47.76,65.8,55.8,12.78,13.41,34325,32,1,-0.693147181
398,18.43439084,13.7,37,11.23251266,47.21,69.84,53.74,11.93,19.93,30951,23,0,-0.693147181
193,19.17232749,26.2,39.4,1.928948336,49.06,67.6,81.88,8.58,10.9,35286,29,0,-0.653926467
151,16.72877511,18.9,34.7,0.536935555,49.19,69.34,94.03,10.56,8.6,37008,33,1,-0.597837001
