income,sex,university,hsgrade,grant,dropout
16833.09,female,pisa,81,yes,no
4002.53,female,pisa,70,yes,no
16905.84,female,pisa,70,yes,no
11836.94,female,pisa,60,yes,no
11935,male,pisa,70,yes,no
2015.45,male,pisa,70,yes,yes
2249.31,female,pisa,87,yes,no
6346.75,male,pisa,76,yes,no
10043.2,female,pisa,70,yes,no
10738.14,female,pisa,94,yes,no
19329.49,female,pisa,100,yes,no
6040.1,female,pisa,64,yes,no
13812.38,male,pisa,74,yes,no
9426.19,male,pisa,90,yes,yes
2688.7,male,pisa,90,yes,no
140.85,male,pisa,60,yes,no
14062.11,male,pisa,99,yes,no
19485.96,female,pisa,83,yes,no
4449.47,female,pisa,91,yes,no
12451.95,female,pisa,72,yes,no
4362.05,female,pisa,72,yes,no
3758.05,female,pisa,95,yes,no
7711.7,female,pisa,100,yes,no
13568.72,male,pisa,88,yes,no
111.87,female,pisa,60,yes,no
268.29,female,pisa,60,yes,no
7482.93,female,pisa,100,yes,no
10052.94,female,pisa,80,yes,no
5430.89,female,pisa,92,yes,no
18875.8,female,pisa,69,yes,no
9329.79,female,pisa,100,yes,no
2292.99,male,pisa,97,yes,no
12368.02,male,pisa,80,yes,no
13392.35,male,pisa,91,yes,no
18905.02,male,pisa,60,yes,no
2748.12,female,pisa,80,yes,no
10626.11,female,pisa,100,yes,no
13473.67,male,pisa,88,yes,no
14431.3,male,pisa,98,yes,no
5529.27,male,pisa,100,yes,no
9825.21,female,pisa,100,yes,no
12980.25,female,pisa,97,yes,no
16670.93,male,pisa,87,yes,no
13839.28,female,pisa,75,yes,no
8024.39,male,pisa,75,yes,no
5408.54,female,pisa,100,yes,no
8218.9,male,pisa,100,yes,no
9609.79,female,pisa,100,yes,no
9227.81,male,pisa,100,yes,no
4496.31,female,pisa,67,yes,no
11475.14,female,pisa,100,yes,no
4508.92,male,pisa,65,yes,no
3644,female,pisa,60,yes,no
4388.18,female,pisa,74,yes,no
14668.39,female,pisa,100,yes,no
10892.46,female,pisa,100,yes,no
8647.97,female,pisa,67,yes,no
6512.3,male,pisa,67,yes,no
9993.46,female,pisa,73,yes,no
7642.6,male,pisa,70,yes,yes
13043.63,female,pisa,81,yes,no
12235.45,female,pisa,70,yes,no
12222.23,female,pisa,100,yes,no
13081.71,female,pisa,100,yes,no
18313.46,male,pisa,81,yes,no
8603.43,female,pisa,70,yes,no
7417.12,female,pisa,78,yes,no
18975.33,female,pisa,78,yes,yes
14862.2,female,pisa,82,yes,no
2099.36,female,pisa,81,yes,no
3550.88,female,pisa,97,yes,no
949.62,female,pisa,63,yes,no
8405.64,female,pisa,60,yes,no
9408.74,female,pisa,83,yes,no
10728.46,female,pisa,100,yes,no
3293.8,male,pisa,78,yes,no
8387.59,female,pisa,88,yes,yes
15550.81,female,pisa,72,yes,no
6122.47,female,pisa,86,yes,no
14571.19,male,pisa,80,yes,no
10745.81,female,pisa,80,yes,no
9956.1,female,pisa,64,yes,no
8559.05,female,pisa,75,yes,no
12757.32,female,pisa,100,yes,no
10045.88,female,pisa,68,yes,no
7165.85,male,pisa,82,yes,yes
9430,female,pisa,98,yes,no
19969.5,female,pisa,85,yes,no
12013.98,female,pisa,89,yes,no
13805.73,female,pisa,69,yes,no
6871.58,female,pisa,83,yes,no
10419.72,female,pisa,76,yes,no
12165.91,female,pisa,100,yes,no
2237.48,female,pisa,82,yes,no
18281.08,female,pisa,93,yes,no
7776.8,female,pisa,77,yes,no
10187.34,female,pisa,100,yes,no
5700.61,female,pisa,82,yes,no
14250.81,female,pisa,82,yes,no
7906.59,male,pisa,73,yes,no
16493.41,male,pisa,97,yes,no
18974.93,female,pisa,95,yes,yes
8969.61,female,pisa,77,yes,no
7768.02,female,pisa,86,yes,no
7824.2,female,pisa,64,yes,no
6174.18,female,pisa,68,yes,yes
13400.92,female,pisa,95,yes,no
6074.15,female,pisa,76,yes,no
9685.79,female,pisa,94,yes,no
8858.94,female,pisa,100,yes,no
7757.89,male,pisa,83,yes,no
14402.21,female,pisa,100,yes,no
14296.98,female,pisa,100,yes,no
17158.07,female,pisa,92,yes,no
15046.6,female,pisa,65,yes,no
9623.33,female,pisa,100,yes,no
5494.9,male,pisa,92,yes,no
16572.23,female,pisa,81,yes,no
13676.5,female,pisa,95,yes,no
9030.81,female,pisa,86,yes,no
18462.92,female,pisa,90,yes,no
4614.66,female,pisa,62,yes,no
14054.15,female,pisa,88,yes,yes
11133.01,female,pisa,60,yes,no
11394.31,female,pisa,70,yes,yes
11317.56,male,pisa,64,yes,no
15657.97,female,pisa,65,yes,no
4994.39,female,pisa,100,yes,no
12367.25,female,pisa,73,yes,no
10980.56,male,pisa,85,yes,no
10656.02,female,pisa,88,yes,no
8752.85,male,pisa,78,yes,no
9126.89,male,pisa,60,yes,no
14830.35,female,pisa,90,yes,no
18075.09,female,pisa,100,yes,no
7406.56,male,pisa,82,yes,no
12599.02,male,pisa,65,yes,no
3008.13,female,pisa,85,yes,no
5246.6,female,pisa,100,yes,no
6873.17,female,pisa,67,yes,no
11795.7,female,pisa,88,yes,no
11142.68,female,pisa,79,yes,no
7157.8,female,pisa,78,yes,no
14234.96,female,pisa,92,yes,no
2941.08,female,pisa,94,yes,no
4094.46,female,pisa,92,yes,no
4732.52,male,pisa,92,yes,no
11781.26,female,pisa,78,yes,no
12236.01,female,pisa,81,yes,no
8743.6,female,pisa,94,yes,yes
15945.07,female,pisa,74,yes,no
11959.8,female,pisa,83,yes,no
4010.75,female,pisa,78,yes,no
19484.16,female,pisa,90,yes,no
4100.84,female,pisa,75,yes,no
12267.99,female,pisa,72,yes,no
5010.99,female,pisa,60,yes,no
15723.76,female,pisa,90,yes,yes
17596.18,female,pisa,90,yes,no
19192.9,female,pisa,60,yes,no
4013.38,female,pisa,83,yes,no
9735.8,female,pisa,80,yes,no
14985.88,female,pisa,89,yes,no
3771.34,male,pisa,74,yes,no
4535.54,female,pisa,62,yes,no
129.3,female,pisa,73,yes,no
8810.98,female,pisa,91,yes,no
12088.28,female,pisa,100,yes,no
14922.85,female,pisa,73,yes,no
7648.78,female,pisa,77,yes,yes
2687.02,female,pisa,63,yes,no
3092.92,female,pisa,100,yes,no
3111.89,female,pisa,60,yes,no
9912.41,male,pisa,62,yes,yes
11233.44,female,pisa,100,yes,no
13695.83,female,pisa,80,yes,no
2002.18,female,pisa,94,yes,yes
10490.65,female,pisa,70,yes,no
3843.95,female,pisa,75,yes,no
6782.11,female,pisa,100,yes,no
7790.74,female,pisa,94,yes,no
12419.92,female,pisa,94,yes,no
10875.32,male,pisa,100,yes,no
4216.18,male,pisa,100,yes,no
7335.29,female,pisa,80,yes,no
13830.88,male,pisa,62,yes,yes
14908.37,female,pisa,100,yes,no
6362.97,female,pisa,94,yes,no
19658.36,male,pisa,63,yes,no
7704.07,female,pisa,72,yes,no
10486.99,female,pisa,92,yes,no
9109.35,male,pisa,83,yes,no
13060.98,female,pisa,100,yes,no
9744.78,female,pisa,82,yes,no
11045.8,female,pisa,87,yes,no
11392.11,female,pisa,60,yes,yes
6901.8,female,pisa,84,yes,no
10991.06,male,pisa,95,yes,no
17164.74,female,pisa,100,yes,no
16768.7,female,pisa,96,yes,no
16263.93,female,pisa,100,yes,no
19584.21,female,pisa,92,yes,yes
10137.77,female,pisa,100,yes,no
12342.83,female,pisa,100,yes,no
5216.16,female,pisa,89,yes,no
13141.52,female,pisa,63,yes,no
10322.36,female,pisa,100,yes,no
15588.81,female,pisa,60,yes,no
13067.71,female,pisa,98,yes,no
6463.61,male,pisa,60,yes,no
9125.64,female,pisa,80,yes,no
13585.78,female,pisa,77,yes,no
3864.51,female,pisa,60,yes,no
8373.03,female,pisa,72,yes,no
10433.81,female,pisa,100,yes,no
15731.3,male,pisa,75,yes,no
8382.84,male,pisa,86,yes,no
14045.35,female,pisa,100,yes,no
14708.54,male,pisa,82,yes,no
3925.13,female,pisa,78,yes,no
8921.3,male,pisa,80,yes,no
3993.48,female,pisa,63,yes,no
11478.41,female,pisa,92,yes,no
12629.26,female,pisa,71,yes,yes
5789.85,female,pisa,74,yes,no
14663.73,male,pisa,82,yes,no
15365.29,female,pisa,100,yes,no
12550.82,male,pisa,92,yes,no
19968.6,female,pisa,95,yes,no
11595.52,female,pisa,90,yes,no
9277.24,female,pisa,92,yes,no
17456.28,female,pisa,94,yes,no
12910.96,male,pisa,70,yes,no
7473.79,female,pisa,100,yes,no
19325.49,male,pisa,75,yes,no
8199.36,female,pisa,78,yes,yes
14.74,female,pisa,70,yes,no
4752.63,female,pisa,76,yes,no
6304.62,male,pisa,60,yes,no
3114.71,female,pisa,94,yes,no
16862.9,female,pisa,90,yes,no
15335.71,female,pisa,89,yes,no
13355.66,male,pisa,83,yes,no
3930.49,female,pisa,92,yes,no
9584.77,female,pisa,84,yes,yes
13490.79,male,pisa,83,yes,no
3849.52,female,pisa,70,yes,no
6763.73,female,pisa,86,yes,no
16157.39,female,pisa,94,yes,no
17344.64,female,pisa,92,yes,no
14937.8,female,pisa,95,yes,no
19240.5,female,pisa,100,yes,no
14599.64,female,pisa,70,yes,no
13231.81,female,pisa,80,yes,no
18062.81,female,pisa,97,yes,yes
12210.39,female,pisa,100,yes,no
4629.05,male,pisa,70,yes,no
5761.76,female,pisa,100,yes,no
13018.63,female,pisa,95,yes,no
17771.08,female,pisa,73,yes,no
10256.4,female,pisa,96,yes,no
61.54,female,pisa,60,yes,no
9832.82,female,pisa,100,yes,no
4530.63,male,pisa,62,yes,yes
5799.55,female,pisa,95,yes,no
15711.38,male,pisa,100,yes,no
14999.19,female,pisa,93,yes,yes
12749.16,female,pisa,85,yes,no
7205.83,female,pisa,94,yes,no
1724.94,female,pisa,90,yes,no
11442.51,female,pisa,94,yes,no
14651.72,male,pisa,86,yes,yes
14408.05,male,pisa,68,yes,no
6151.81,female,pisa,100,yes,no
5130.08,male,pisa,65,yes,no
15703.53,female,pisa,95,yes,yes
5077.24,female,pisa,78,yes,no
10844.14,female,pisa,63,yes,no
3535.77,male,pisa,87,yes,no
16166.56,female,pisa,100,yes,no
9840.08,male,pisa,87,yes,no
11294.96,female,pisa,90,yes,no
4017.54,female,pisa,72,yes,no
7257.82,female,pisa,76,yes,no
3896.25,female,pisa,83,yes,no
11233,male,pisa,95,yes,no
12599.02,female,pisa,67,yes,no
8943.65,female,pisa,80,yes,no
9011.18,male,pisa,81,yes,no
9847.97,female,pisa,76,yes,yes
18907.19,male,pisa,81,yes,no
6570.24,male,pisa,73,yes,no
17885.37,male,pisa,90,yes,no
17885.37,male,pisa,80,yes,no
14831.24,female,pisa,98,yes,no
1728.92,female,pisa,98,yes,no
4866.88,female,pisa,83,yes,no
15791,female,pisa,72,yes,yes
7524.02,male,pisa,76,yes,no
12020.76,male,pisa,84,yes,no
6447.15,female,pisa,97,yes,no
6560.9,male,pisa,75,yes,no
6098.37,male,pisa,62,yes,no
9552.03,female,pisa,89,yes,no
13030,female,pisa,95,yes,no
8456.42,male,pisa,89,yes,no
4806.61,female,pisa,100,yes,no
12413.12,male,pisa,64,yes,no
2783.75,female,pisa,96,yes,no
15028.67,female,pisa,100,yes,no
11861.61,female,pisa,66,yes,no
2429.67,male,pisa,63,yes,no
10182.52,female,pisa,100,yes,no
12086.63,male,pisa,98,yes,no
3134.04,female,pisa,83,yes,no
4590.53,female,pisa,95,yes,yes
11506.91,female,pisa,82,yes,yes
8596.07,male,pisa,63,yes,no
13057.72,female,pisa,97,yes,yes
1904.47,female,pisa,98,yes,no
4372.98,female,pisa,85,yes,no
4645.1,male,pisa,74,yes,no
11583.33,female,pisa,63,yes,yes
17656.77,male,pisa,65,yes,no
19827.3,female,pisa,83,yes,no
14703.79,female,pisa,100,yes,no
8202.03,female,pisa,78,yes,no
8944.59,male,pisa,83,yes,no
17674.39,female,pisa,63,yes,no
11472.98,female,pisa,63,yes,yes
3306.67,female,pisa,82,yes,no
13184.39,female,pisa,70,yes,no
797.45,female,pisa,86,yes,no
3270.81,male,pisa,73,yes,yes
9176.32,male,pisa,69,yes,no
11364.97,female,pisa,69,yes,no
7163.41,female,pisa,81,yes,no
934.82,female,pisa,97,yes,yes
11759.35,female,pisa,65,yes,no
8343.99,male,pisa,68,yes,no
10308.71,female,pisa,100,yes,no
2346.6,female,pisa,82,yes,no
7871.97,female,pisa,82,yes,no
15405.74,female,pisa,73,yes,yes
8014.63,female,pisa,81,yes,no
9058.27,female,pisa,70,yes,no
8302.11,male,pisa,65,yes,yes
6933.14,male,pisa,82,yes,no
14867.57,female,pisa,61,yes,yes
970,male,pisa,65,yes,no
6983.44,female,pisa,83,yes,no
14593.38,female,pisa,80,yes,no
10572.46,male,pisa,82,yes,no
5658.04,female,pisa,74,yes,no
8978.46,female,pisa,90,yes,no
9474.22,female,pisa,100,yes,yes
16972.06,female,pisa,95,yes,no
609.76,female,pisa,75,yes,yes
15934.29,female,pisa,100,yes,no
4325.26,female,pisa,100,yes,yes
11630.53,female,pisa,80,yes,no
11903.36,female,pisa,84,yes,no
9804.88,male,pisa,91,yes,no
3464.31,female,pisa,100,yes,yes
10032.52,female,pisa,79,yes,no
6923.04,female,pisa,100,yes,no
8726.12,female,pisa,100,yes,no
2101.87,female,pisa,94,yes,no
13.73,female,pisa,62,yes,no
10732.85,male,pisa,75,yes,yes
14949.8,male,pisa,93,yes,no
2977.04,female,pisa,67,yes,no
8550.41,male,pisa,85,yes,yes
7041.02,female,pisa,100,yes,no
11389.43,female,pisa,75,yes,no
14306.54,female,pisa,90,yes,no
11647.15,male,pisa,100,yes,no
12749,female,pisa,75,yes,no
5928.92,male,pisa,96,yes,no
16220.77,female,pisa,100,yes,no
7983.61,male,pisa,91,yes,no
7639.43,female,pisa,80,yes,no
10895.23,female,pisa,83,yes,yes
10972.35,female,pisa,68,yes,no
6452.44,female,pisa,72,yes,yes
16786.27,female,pisa,100,yes,no
11645.69,female,pisa,93,yes,no
15317.16,female,pisa,68,yes,yes
9018.09,female,pisa,82,yes,no
915.2,male,pisa,68,yes,no
18176.06,female,pisa,66,yes,yes
7306.1,female,pisa,100,yes,no
15714.01,female,pisa,70,yes,no
17188.86,female,pisa,65,yes,no
10382.93,male,pisa,60,yes,no
16917.45,female,pisa,100,yes,no
14290.69,male,pisa,100,yes,no
7464.92,female,pisa,90,yes,no
4956.69,female,pisa,74,yes,no
9601.98,male,pisa,65,yes,no
11462.84,female,pisa,100,yes,no
1779.34,female,pisa,90,yes,no
14212.98,female,pisa,100,yes,no
11315.92,female,pisa,98,yes,no
6522.98,female,pisa,78,yes,no
8825.61,female,pisa,60,yes,no
9417.26,female,pisa,100,yes,no
12757.72,female,pisa,100,yes,no
7780.52,female,pisa,78,yes,no
16528.72,female,pisa,100,yes,yes
8562.71,female,pisa,100,yes,no
15312.19,female,pisa,96,yes,no
15601.91,female,pisa,100,yes,no
5978.66,male,pisa,100,yes,no
5847.15,female,pisa,80,yes,no
2883.82,male,pisa,75,yes,yes
194.24,female,pisa,60,yes,no
16110.57,female,pisa,80,yes,yes
13858.97,female,pisa,90,yes,no
18097.7,female,pisa,76,yes,yes
8868.56,female,pisa,65,yes,no
10615.44,female,pisa,78,yes,no
7377.64,female,pisa,60,yes,no
9417.26,female,pisa,97,yes,no
13397.41,female,pisa,92,yes,no
13532.08,male,pisa,66,yes,no
8910.97,male,pisa,73,yes,no
15693.9,female,pisa,73,yes,no
7866.32,male,pisa,79,yes,no
10755.63,female,pisa,100,yes,no
14956.45,male,pisa,77,yes,no
8466.24,male,pisa,90,yes,yes
4773.25,male,pisa,60,yes,no
4631.71,male,pisa,82,yes,yes
3104.41,female,pisa,100,yes,yes
7624.02,female,pisa,100,yes,no
5540,male,pisa,63,yes,no
10369.11,female,pisa,71,yes,yes
10421.02,male,pisa,91,yes,no
14402.31,female,pisa,100,yes,no
14740.23,female,pisa,86,yes,no
14590.98,male,pisa,100,yes,no
