age,education,black,hispanic,married,nodegree,re17,treat,re21
37,13,1,0,1,1,0,1,41695.28695
22,11,0,1,0,1,0,1,15098.78252
30,14,1,0,0,0,0,1,104592.4996
27,13,1,0,0,1,0,1,31517.57324
33,10,1,0,0,1,0,1,1216.799231
22,11,1,0,0,1,0,1,17032.79586
23,14,1,0,0,0,0,1,0
32,13,1,0,0,1,0,1,35573.75262
22,18,1,0,0,0,0,1,9086.503578
33,14,0,0,1,0,0,1,52142.36009
19,11,1,0,0,1,0,1,34321.4307
21,15,1,0,0,0,0,1,71778.51594
18,10,1,0,0,1,0,1,0
27,12,1,0,1,1,0,1,78686.96611
17,9,1,0,0,1,0,1,12696.96973
19,12,1,0,0,1,0,1,13556.14865
27,15,1,0,0,0,0,1,61227.93991
23,12,1,0,0,1,0,1,32303.81726
40,14,1,0,0,0,0,1,45366.17527
26,14,1,0,0,0,0,1,45127.25786
23,13,1,0,0,1,0,1,0
41,16,0,0,0,0,0,1,21622.23555
38,11,0,0,0,1,0,1,26910.54016
24,13,1,0,0,1,0,1,8361.68946
18,12,1,0,0,1,0,1,46873.16048
29,13,1,0,1,1,0,1,40489.9927
25,13,1,0,0,1,0,1,41556.72325
27,12,0,1,0,1,0,1,46787.92281
17,12,1,0,0,1,0,1,68097.7602
24,13,1,0,0,1,0,1,4180.84473
17,12,1,0,0,1,0,1,0
48,6,1,0,0,1,0,1,27509.47125
25,13,1,0,1,1,0,1,6610.832138
20,14,1,0,0,0,0,1,0
25,14,1,0,0,0,0,1,13401.83908
42,16,1,0,0,0,0,1,86102.22351
25,7,1,0,0,1,0,1,25957.09593
23,14,1,0,1,0,0,1,24822.0073
46,10,1,0,1,1,0,1,12992.06842
24,12,1,0,0,1,0,1,0
21,14,1,0,0,0,0,1,5267.855962
19,11,0,0,0,1,0,1,55378.45232
17,10,1,0,0,1,0,1,33849.39036
18,10,0,1,1,1,0,1,11706.36524
20,13,1,0,0,1,0,1,16680.29821
25,13,1,0,1,1,0,1,0
17,10,1,0,0,1,0,1,0
17,11,1,0,0,1,0,1,0
25,7,1,0,0,1,0,1,51173.67386
23,14,1,0,0,0,0,1,20336.0285
28,10,1,0,0,1,0,1,0
31,13,1,0,1,1,0,1,33958.56176
18,13,1,0,0,1,0,1,0
25,14,1,0,0,0,0,1,9863.090133
30,13,1,0,1,1,0,1,2480.63454
17,12,1,0,0,1,0,1,0
37,11,1,0,0,1,0,1,4482.367739
41,6,1,0,1,1,0,1,30588.94451
42,16,1,0,1,0,0,1,55289.01575
22,13,0,0,0,1,0,1,4402.252727
17,10,1,0,0,1,0,1,0
29,10,1,0,0,1,0,1,8078.431666
35,12,1,0,0,1,0,1,19593.07514
27,13,1,0,0,1,0,1,2306.447372
29,6,1,0,0,1,0,1,3203.403794
28,11,1,0,0,1,0,1,44904.29627
27,13,1,0,0,1,0,1,0
23,9,0,0,0,1,0,1,0
45,7,1,0,1,1,0,1,35886.82261
29,15,1,0,0,0,0,1,31406.34437
27,11,1,0,0,1,0,1,0
46,15,1,0,0,0,0,1,2717.549075
18,8,1,0,0,1,0,1,0
25,14,1,0,0,0,0,1,50243.19762
28,17,1,0,0,0,0,1,40303.30961
25,13,0,0,0,1,0,1,78869.61826
22,14,1,0,0,0,0,1,78427.47409
21,11,1,0,0,1,0,1,0
40,13,1,0,0,1,0,1,96598.21384
22,13,1,0,0,1,0,1,27111.03763
25,14,1,0,0,0,0,1,0
18,14,1,0,0,0,0,1,9746.108779
38,14,0,0,0,0,0,1,20750.33397
27,15,1,0,0,0,0,1,0
27,10,1,0,0,1,0,1,0
38,13,1,0,0,1,0,1,0
23,10,0,1,0,1,0,1,16297.10659
26,13,1,0,0,1,0,1,72351.2459
21,14,0,0,0,0,0,1,33795.26654
25,10,1,0,0,1,0,1,0
31,13,1,0,1,1,0,1,60925.61911
17,12,1,0,0,1,0,1,0
25,13,1,0,0,1,0,1,0
21,14,1,0,0,0,0,1,41920.89384
44,13,1,0,0,1,0,1,0
25,14,0,0,0,0,0,1,23461.35375
18,11,1,0,0,1,0,1,18823.03887
42,14,1,0,0,0,0,1,10313.12824
25,12,1,0,0,1,0,1,0
31,11,0,1,0,1,0,1,112604.4206
24,12,1,0,0,1,0,1,0
26,12,1,0,0,1,0,1,38906.12563
25,13,1,0,0,1,0,1,2037.432247
18,13,1,0,0,1,0,1,20216.14991
19,13,1,0,0,1,0,1,31315.85808
43,11,1,0,0,1,0,1,0
27,15,1,0,0,0,0,1,143179.5508
17,11,1,0,0,1,0,1,8201.585403
30,13,1,0,0,1,0,1,0
26,12,1,0,1,1,0,1,0
20,11,1,0,0,1,0,1,37293.24416
17,11,0,1,0,1,312.1609222,1,26077.98226
20,14,1,0,0,0,693.6918712,1,0
18,13,1,0,0,1,900.9327796,1,3904.489928
27,14,1,0,1,0,1402.638346,1,0
21,14,0,0,0,0,1402.638346,1,52729.7862
27,14,1,0,0,0,1502.996255,1,93061.48037
20,14,1,0,0,0,1585.374474,1,6939.270096
19,12,1,0,0,1,1617.726999,1,34114.88681
23,14,1,0,0,0,2103.959619,1,2818.855935
29,16,1,0,0,0,2853.87896,1,74803.4035
18,12,1,0,0,1,3354.534801,1,40885.31914
19,11,1,0,0,1,3354.534801,1,74258.38628
27,15,0,0,1,0,3584.697505,1,0
18,13,0,0,0,1,3861.132086,1,18146.42812
27,11,1,0,1,1,3923.641111,1,7446.413238
22,14,1,0,0,0,3930.913605,1,0
23,12,1,0,1,1,3932.013717,1,47167.50337
23,14,0,1,0,0,4692.018816,1,2349.045213
20,13,1,0,0,1,5126.185076,1,4557.654016
17,11,1,0,0,1,5263.069216,1,22863.85028
28,13,1,0,0,1,5391.723512,1,253226.8413
26,13,1,0,1,1,5848.437865,1,6131.905604
20,13,1,0,0,1,6235.324511,1,29154.39033
24,13,1,0,1,1,6995.829279,1,16932.94602
31,11,1,0,0,1,7132.293529,1,43514.46037
23,10,0,0,1,1,7193.345535,1,17771.04646
18,12,1,0,0,1,7491.971303,1,46781.62446
29,14,1,0,0,0,7630.576992,1,0
26,13,0,0,0,1,9347.885103,1,56206.05551
24,11,1,0,0,1,9609.938452,1,20362.81748
25,14,1,0,0,0,10116.2838,1,0
24,12,1,0,0,1,10169.52586,1,6972.315439
46,10,1,0,0,1,10894.96981,1,0
31,14,0,0,0,0,10964.25166,1,10432.377
19,13,1,0,0,1,10981.29919,1,17411.15874
19,10,1,0,0,1,11156.72923,1,41865.88825
27,13,1,0,0,1,11195.4011,1,0
26,13,1,0,1,1,11566.49989,1,110734.6505
20,12,1,0,0,1,11661.8569,1,23577.62129
28,12,1,0,0,1,11910.22184,1,13422.07777
24,14,1,0,0,0,11936.46496,1,25897.47155
19,10,1,0,0,1,12333.26101,1,31642.65847
23,14,1,0,0,0,12764.48804,1,35624.47534
42,11,1,0,1,1,12842.46162,1,5435.098149
25,15,1,0,0,0,12977.6662,1,0
18,11,1,0,0,1,13803.37988,1,21037.91663
21,14,1,0,0,0,13992.45635,1,39348.05986
27,12,1,0,0,1,14906.43091,1,0
21,10,1,0,0,1,15518.71451,1,17969.65443
22,11,1,0,0,1,16111.13731,1,14538.94318
31,6,1,0,0,1,16893.05647,1,30998.5892
24,12,1,0,1,1,17123.74404,1,0
29,12,1,0,0,1,18470.75116,1,0
29,14,1,0,0,0,20486.18117,1,46089.22585
19,12,0,0,0,1,22355.40548,1,58069.10744
19,13,0,1,1,1,22941.94982,1,28504.06469
31,11,1,0,0,1,23168.85838,1,40135.18565
22,12,1,0,1,1,23466.22447,1,55544.30887
21,11,1,0,0,1,24140.86174,1,3122.583366
17,12,1,0,0,1,24327.79677,1,23189.64293
26,14,1,0,1,0,24331.91169,1,5983.180566
20,11,0,1,0,1,24668.74745,1,5704.793496
19,12,1,0,0,1,25431.68758,1,0
26,12,1,0,0,1,28506.16414,1,2825.343235
28,13,1,0,0,1,28854.25295,1,0
22,14,0,1,1,0,29626.17873,1,42378.65792
33,13,1,0,0,1,33036.60929,1,26375.09643
22,14,0,0,0,0,35503.79895,1,52867.09023
29,12,0,1,0,1,37175.67496,1,21464.81879
33,14,1,0,1,0,45941.84446,1,66983.37214
25,16,1,0,1,0,48441.02974,1,153877.0883
35,11,1,0,1,1,58073.30634,1,53762.7156
35,10,1,0,1,1,75480.26618,1,15899.68071
33,13,1,0,1,1,105569.5836,1,17559.54787
23,12,1,0,0,1,0,0,0
26,14,0,0,0,0,0,0,51997.91793
22,11,1,0,0,1,0,0,0
18,11,1,0,0,1,0,0,45096.60589
45,13,1,0,0,1,0,0,49532.32385
18,11,1,0,0,1,0,0,38743.46025
24,10,0,0,0,1,0,0,44379.43377
34,13,1,0,1,1,0,0,25362.78363
24,6,0,1,0,1,0,0,16295.21709
36,12,1,0,0,1,0,0,0
21,16,1,0,0,0,0,0,24248.89943
28,11,1,0,0,1,0,0,0
27,9,1,0,1,1,0,0,0
19,13,0,0,0,1,0,0,0
20,10,1,0,0,1,0,0,0
34,14,1,0,0,0,0,0,8875.298908
24,12,1,0,0,1,0,0,31989.9075
22,10,0,1,0,1,0,0,41657.07696
25,13,1,0,0,1,0,0,17620.17998
39,11,1,0,0,1,0,0,0
19,11,1,0,1,1,0,0,69946.53587
44,11,1,0,0,1,0,0,40821.7058
27,10,1,0,0,1,0,0,15887.20997
25,10,1,0,0,1,0,0,14763.03848
31,12,1,0,0,1,0,0,71442.60394
34,12,1,0,1,1,0,0,0
21,9,0,1,0,1,0,0,0
33,14,1,0,0,0,0,0,25068.52471
18,12,0,1,0,1,0,0,7806.468913
26,14,1,0,1,0,0,0,25999.33687
31,14,1,0,0,0,0,0,30586.42517
35,12,1,0,0,1,0,0,1871.999786
20,14,1,0,0,0,0,0,0
25,13,1,0,0,1,0,0,0
25,12,1,0,0,1,0,0,30933.46426
35,13,1,0,0,1,0,0,0
20,12,1,0,0,1,0,0,8462.88295
25,11,0,1,0,1,0,0,66305.24979
27,12,1,0,0,1,0,0,4767.724983
20,13,0,1,0,1,0,0,26783.60741
26,13,1,0,0,1,0,0,30132.10419
38,10,1,0,0,1,0,0,0
34,12,1,0,0,1,0,0,33391.92021
19,14,1,0,0,0,0,0,0
32,10,1,0,0,1,0,0,30031.07866
20,11,0,1,0,1,0,0,34976.0812
23,12,1,0,0,1,0,0,0
38,12,1,0,0,1,0,0,52191.90711
24,13,1,0,0,1,0,0,0
23,13,1,0,0,1,0,0,21367.19436
20,9,0,1,0,1,0,0,18366.15656
21,13,1,0,0,1,0,0,6522.109381
25,12,1,0,0,1,0,0,0
22,13,1,0,1,1,0,0,7130.99187
23,13,1,0,0,1,0,0,0
24,14,0,0,0,0,0,0,47424.89594
29,13,1,0,0,1,0,0,0
24,13,1,0,0,1,0,0,61414.79096
22,11,1,0,0,1,0,0,54159.09176
28,13,1,0,0,1,0,0,24215.60216
18,12,0,1,0,1,0,0,27410.08329
26,12,1,0,0,1,0,0,16506.88364
25,12,1,0,0,1,0,0,87934.20358
24,12,1,0,0,1,0,0,0
26,7,1,0,0,1,0,0,0
36,12,1,0,0,1,0,0,61683.52056
22,13,1,0,0,1,0,0,0
25,14,1,0,0,0,0,0,14352.26009
27,13,1,0,0,1,0,0,47016.34297
29,10,1,0,0,1,0,0,0
24,14,1,0,0,0,0,0,0
22,12,1,0,0,1,0,0,0
24,9,1,0,0,1,0,0,6112.296741
29,14,1,0,0,0,0,0,7939.867966
25,13,0,1,1,1,0,0,18834.66982
30,14,1,0,0,0,0,0,57161.30526
22,10,1,0,0,1,0,0,5838.612439
55,5,1,0,0,1,0,0,24537.53182
20,12,1,0,0,1,0,0,36104.32563
34,13,1,0,0,1,0,0,12261.62778
22,14,1,0,0,0,0,0,0
32,14,0,1,1,0,0,0,28280.93515
31,12,1,0,0,1,0,0,0
18,11,1,0,0,1,0,0,0
50,12,0,1,0,1,0,0,0
25,13,1,0,1,1,0,0,187.923869
23,12,1,0,1,1,0,0,0
38,12,1,0,0,1,0,0,0
25,12,1,0,1,1,0,0,15543.53001
42,12,1,0,0,1,0,0,29099.80463
39,14,1,0,1,0,0,0,15938.18462
34,15,1,0,1,0,0,0,21805.93743
24,9,1,0,0,1,0,0,9210.413117
32,13,1,0,0,1,0,0,46693.86745
27,15,1,0,0,0,0,0,31951.61353
26,12,1,0,0,1,0,0,9107.540067
44,13,1,0,0,1,0,0,0
25,13,1,0,0,1,0,0,5308.375347
25,14,1,0,0,0,0,0,0
28,14,1,0,1,0,0,0,0
32,12,1,0,0,1,0,0,0
22,12,1,0,0,1,0,0,0
19,11,1,0,0,1,0,0,23986.8041
31,12,1,0,1,1,0,0,0
23,13,1,0,0,1,0,0,0
33,13,1,0,0,1,0,0,0
27,12,1,0,0,1,0,0,4975.192632
29,13,1,0,1,1,0,0,42937.53151
23,12,1,0,0,1,0,0,0
25,11,1,0,1,1,0,0,19799.36709
25,12,1,0,0,1,0,0,1216.799231
24,12,1,0,0,1,0,0,0
28,10,0,0,0,1,0,0,34390.75454
26,8,1,0,0,1,0,0,20209.51565
30,16,1,0,1,0,0,0,30839.57685
25,12,1,0,1,1,0,0,0
29,13,1,0,1,1,0,0,0
25,14,1,0,1,0,0,0,0
28,15,1,0,0,0,0,0,0
23,13,1,0,0,1,0,0,18269.036
54,13,1,0,0,1,0,0,32803.99023
33,7,0,1,0,1,0,0,0
20,10,1,0,0,1,0,0,15303.56287
45,11,1,0,0,1,0,0,20342.83072
39,8,1,0,0,1,0,0,0
26,14,1,0,0,0,0,0,0
23,12,1,0,0,1,0,0,0
27,14,0,0,0,0,0,0,62113.90781
33,11,0,1,1,1,0,0,0
25,12,1,0,1,1,0,0,0
23,10,1,0,0,1,0,0,15732.01863
18,10,1,0,0,1,0,0,6584.505035
17,10,1,0,0,1,0,0,29436.13652
19,11,0,1,0,1,0,0,16004.86315
18,10,0,1,0,1,0,0,45342.24154
18,13,1,0,0,1,0,0,19555.411
17,13,1,0,0,1,0,0,35907.01932
19,12,1,0,0,1,0,0,18096.75513
19,12,1,0,0,1,0,0,22197.06496
18,11,1,0,0,1,0,0,52428.30518
18,11,1,0,0,1,0,0,45673.11486
18,12,1,0,0,1,0,0,849.3744865
17,12,1,0,0,1,0,0,11159.45852
18,9,1,0,0,1,0,0,17352.29016
18,13,1,0,0,1,0,0,47460.58659
19,12,0,1,0,1,0,0,0
18,11,1,0,0,1,0,0,0
17,12,1,0,0,1,0,0,0
17,12,1,0,0,1,0,0,9193.197627
19,13,1,0,0,1,0,0,0
17,10,0,0,0,1,0,0,42874.9679
18,12,1,0,0,1,0,0,46389.86709
18,11,1,0,0,1,0,0,0
17,10,1,0,0,1,0,0,37764.36074
19,8,0,1,0,1,0,0,21295.98102
19,12,0,0,0,1,0,0,13411.32859
17,13,0,0,0,1,0,0,0
20,11,1,0,0,1,0,0,21805.2656
17,11,1,0,0,1,0,0,0
17,12,1,0,0,1,0,0,1157.074077
17,11,1,0,0,1,0,0,15076.99023
19,13,1,0,0,1,0,0,0
19,12,1,0,1,1,0,0,53736.26253
20,11,1,0,0,1,0,0,8548.582499
18,11,1,0,0,1,0,0,10034.02735
18,13,1,0,0,1,0,0,0
17,12,0,1,0,1,0,0,35561.65979
19,13,1,0,0,1,0,0,0
17,12,1,0,0,1,0,0,4800.980271
17,11,0,1,0,1,0,0,21476.57571
18,12,1,0,0,1,0,0,3280.281454
21,11,1,0,0,1,0,0,14037.84646
18,12,1,0,0,1,0,0,40319.68532
19,13,1,0,0,1,0,0,0
24,11,1,0,0,1,0,0,69120.61224
28,13,0,1,1,1,0,0,28433.35522
25,13,1,0,0,1,0,0,0
21,9,1,0,0,1,0,0,46236.60724
39,13,1,0,0,1,351.4042614,0,0
